time,futOpen,futHigh,futLow,futClose,futVolume,spotOpen,spotHigh,spotLow,spotClose,spotVolume,hiFP,loFP,fp
2026-01-02 05:00:00,0.73135,0.73155,0.7313,0.73135,277,1.37151,1.37176,1.3709,1.37159,0,-0.63935,-0.64046,-0.64024
2026-01-02 06:00:00,0.7313,0.73145,0.7312,0.7314,886,1.37159,1.37187,1.371,1.3712,0,-0.63955,-0.64067,-0.6398
2026-01-02 07:00:00,0.7314,0.7322,0.7314,0.7321,1643,1.37147,1.3716,1.3696,1.37016,0,-0.6374,-0.6402,-0.63806
2026-01-02 08:00:00,0.7321,0.73215,0.7313,0.7314,2337,1.37016,1.37179,1.3697,1.37144,0,-0.63755,-0.64049,-0.64004
2026-01-02 09:00:00,0.7314,0.7315,0.731,0.7311,1090,1.37144,1.37222,1.3709,1.37206,0,-0.6394,-0.64122,-0.64096
2026-01-02 10:00:00,0.7311,0.73115,0.7309,0.7311,800,1.37207,1.37254,1.3715,1.37214,0,-0.64035,-0.64164,-0.64104
2026-01-02 11:00:00,0.7311,0.73125,0.73065,0.7308,1179,1.37216,1.37296,1.3713,1.3726,0,-0.64005,-0.64231,-0.6418
2026-01-02 12:00:00,0.7308,0.731,0.7303,0.73035,1562,1.3726,1.37364,1.3718,1.37343,0,-0.6408,-0.64334,-0.64308
2026-01-02 13:00:00,0.73035,0.731,0.73005,0.7301,2674,1.37339,1.37414,1.3719,1.37392,0,-0.6409,-0.64409,-0.64382
2026-01-02 14:00:00,0.7301,0.73035,0.7297,0.72995,5133,1.37398,1.37473,1.3732,1.37418,0,-0.64285,-0.64503,-0.64423
2026-01-02 15:00:00,0.72995,0.7311,0.7299,0.7309,7737,1.37418,1.37435,1.3717,1.372,0,-0.6406,-0.64445,-0.6411
2026-01-02 16:00:00,0.73095,0.731,0.73005,0.7301,5526,1.37235,1.37409,1.372,1.3735,0,-0.641,-0.64404,-0.6434
2026-01-02 17:00:00,0.73015,0.7309,0.73,0.73005,3583,1.37384,1.3742,1.372,1.37397,0,-0.6411,-0.6442,-0.64392
2026-01-02 18:00:00,0.73005,0.7301,0.7297,0.7298,1750,1.37402,1.37478,1.3735,1.37442,0,-0.6434,-0.64508,-0.64462
2026-01-02 19:00:00,0.7298,0.73045,0.7298,0.7304,5491,1.37443,1.37453,1.3728,1.37331,0,-0.64235,-0.64473,-0.64291
2026-01-02 20:00:00,0.73045,0.7305,0.7302,0.7304,1965,1.37336,1.37374,1.3727,1.37325,0,-0.6422,-0.64354,-0.64285
2026-01-02 21:00:00,0.7304,0.73075,0.7303,0.7304,1109,1.37329,1.3735,1.3722,1.37301,0,-0.64145,-0.6432,-0.64261
2026-01-05 00:00:00,0.72965,0.73,0.7296,0.7297,819,1.37468,1.37484,1.3736,1.37466,0,-0.6436,-0.64524,-0.64496
2026-01-05 01:00:00,0.7297,0.7299,0.7296,0.7297,838,1.37459,1.37487,1.3739,1.37463,0,-0.644,-0.64527,-0.64493
2026-01-05 02:00:00,0.7297,0.7297,0.72935,0.7295,657,1.37464,1.3754,1.3741,1.37504,0,-0.6444,-0.64605,-0.64554
2026-01-05 03:00:00,0.7295,0.7295,0.7285,0.7285,1513,1.37497,1.3769,1.3745,1.37675,0,-0.645,-0.6484,-0.64825
2026-01-05 04:00:00,0.7285,0.7287,0.728,0.7284,1768,1.37679,1.3778,1.3762,1.37705,0,-0.6475,-0.6498,-0.64865
2026-01-05 05:00:00,0.7284,0.7286,0.72825,0.7285,544,1.37703,1.3773,1.3763,1.37681,0,-0.6477,-0.64905,-0.64831
2026-01-05 06:00:00,0.7285,0.7287,0.7283,0.72865,520,1.37681,1.37726,1.376,1.37663,0,-0.6473,-0.64896,-0.64798
2026-01-05 07:00:00,0.72865,0.72875,0.72785,0.728,1885,1.37663,1.37815,1.376,1.37781,0,-0.64725,-0.6503,-0.64981
2026-01-05 08:00:00,0.728,0.7284,0.72765,0.72775,2570,1.37777,1.37843,1.3766,1.37828,0,-0.6482,-0.65078,-0.65053
2026-01-05 09:00:00,0.7278,0.728,0.7275,0.728,1870,1.37828,1.37887,1.3773,1.3778,0,-0.6493,-0.65137,-0.6498
2026-01-05 10:00:00,0.72805,0.72865,0.72805,0.7286,2424,1.37776,1.3778,1.3762,1.37676,0,-0.64755,-0.64975,-0.64816
2026-01-05 11:00:00,0.7286,0.7288,0.7285,0.7286,1970,1.37672,1.37696,1.3758,1.37667,0,-0.647,-0.64846,-0.64807
2026-01-05 12:00:00,0.72865,0.72885,0.7277,0.72775,2699,1.37667,1.3784,1.3758,1.37823,0,-0.64695,-0.6507,-0.65048
2026-01-05 13:00:00,0.7278,0.7278,0.72605,0.7269,8994,1.37823,1.38154,1.3779,1.3799,0,-0.6501,-0.65549,-0.653
2026-01-05 14:00:00,0.72695,0.728,0.72685,0.72755,9153,1.37984,1.38,1.3774,1.37858,0,-0.6494,-0.65315,-0.65103
2026-01-05 15:00:00,0.7276,0.7298,0.72755,0.72965,10673,1.37869,1.37874,1.3742,1.37481,0,-0.6444,-0.65119,-0.64516
2026-01-05 16:00:00,0.7296,0.7298,0.72905,0.7291,5066,1.37481,1.37586,1.374,1.37574,0,-0.6442,-0.64681,-0.64664
2026-01-05 17:00:00,0.7291,0.7292,0.7287,0.7289,2883,1.37577,1.37649,1.3752,1.37609,0,-0.646,-0.64779,-0.64719
2026-01-05 18:00:00,0.7289,0.72925,0.72875,0.7289,1881,1.37611,1.37641,1.3751,1.37606,0,-0.64585,-0.64766,-0.64716
2026-01-05 19:00:00,0.7289,0.72925,0.7288,0.7292,4414,1.37606,1.37628,1.3751,1.37561,0,-0.64585,-0.64748,-0.64641
2026-01-05 20:00:00,0.7292,0.7292,0.7286,0.7288,2589,1.37568,1.37669,1.3752,1.37621,0,-0.646,-0.64809,-0.64741
2026-01-05 21:00:00,0.72885,0.72895,0.72825,0.7284,2735,1.3759,1.37735,1.3756,1.37703,0,-0.64665,-0.6491,-0.64863
2026-01-05 23:00:00,0.7283,0.7285,0.7282,0.7282,0,1.37683,1.37738,1.3765,1.3771,0,-0.648,-0.64918,-0.6489
2026-01-06 00:00:00,0.72825,0.7283,0.72805,0.72825,651,1.37729,1.37763,1.3767,1.37719,0,-0.6484,-0.64958,-0.64894
2026-01-06 01:00:00,0.72835,0.72875,0.72815,0.7287,767,1.37715,1.3775,1.3759,1.37638,0,-0.64715,-0.64935,-0.64768
2026-01-06 02:00:00,0.7287,0.7289,0.72845,0.72885,571,1.37638,1.37701,1.3757,1.37613,0,-0.6468,-0.64856,-0.64728
2026-01-06 03:00:00,0.7289,0.7289,0.72865,0.72865,274,1.37612,1.37666,1.3756,1.37657,0,-0.6467,-0.64801,-0.64792
2026-01-06 04:00:00,0.72865,0.72895,0.72855,0.7288,0,1.37657,1.37673,1.3756,1.376,0,-0.64665,-0.64818,-0.6472
2026-01-06 05:00:00,0.7288,0.72895,0.7286,0.72875,362,1.37635,1.37669,1.3756,1.3764,0,-0.64665,-0.64809,-0.64765
2026-01-06 06:00:00,0.72875,0.72915,0.72865,0.7291,1008,1.37636,1.3766,1.3752,1.37567,0,-0.64605,-0.64795,-0.64657
2026-01-06 07:00:00,0.72915,0.7294,0.7286,0.72875,1575,1.37568,1.3766,1.3747,1.3763,0,-0.6453,-0.648,-0.64755
2026-01-06 08:00:00,0.72875,0.7293,0.72865,0.72885,2140,1.37626,1.37655,1.375,1.37617,0,-0.6457,-0.6479,-0.64732
2026-01-06 09:00:00,0.72885,0.72885,0.72845,0.7285,1620,1.37624,1.37702,1.3757,1.37682,0,-0.64685,-0.64857,-0.64832
2026-01-06 10:00:00,0.7285,0.7289,0.7283,0.7288,1190,1.3768,1.37717,1.3756,1.37627,0,-0.6467,-0.64887,-0.64747
2026-01-06 11:00:00,0.72875,0.72875,0.72825,0.72835,958,1.37621,1.37743,1.3759,1.377,0,-0.64715,-0.64918,-0.64865
2026-01-06 12:00:00,0.7284,0.72865,0.72765,0.7278,1984,1.37701,1.37854,1.376,1.37807,0,-0.64735,-0.65089,-0.65027
2026-01-06 13:00:00,0.72785,0.7284,0.7278,0.72835,3963,1.37807,1.37823,1.3766,1.37709,0,-0.6482,-0.65043,-0.64874
2026-01-06 14:00:00,0.72835,0.7291,0.72825,0.72865,4396,1.37711,1.37736,1.37562,1.37654,0,-0.64652,-0.64911,-0.64789
