time,futOpen,futHigh,futLow,futClose,spotOpen,spotHigh,spotLow,spotClose,hiFP,loFP,fp
2025.07.06 23:00,0.7377,0.7378,0.73755,0.73775,1.36045,1.36068,1.3597,1.36038,-0.6219,-0.62313,-0.62263
2025.07.07 00:00,0.73775,0.73805,0.73745,0.7375,1.36032,1.3609,1.3594,1.36082,-0.62135,-0.62345,-0.62332
2025.07.07 01:00,0.73745,0.73745,0.73705,0.7371,1.3608,1.36163,1.3606,1.3615,-0.62315,-0.62458,-0.6244
2025.07.07 02:00,0.73715,0.73725,0.7366,0.73675,1.36144,1.36234,1.3607,1.36214,-0.62345,-0.62574,-0.62539
2025.07.07 03:00,0.73675,0.7368,0.73635,0.7366,1.3618,1.36285,1.3616,1.36254,-0.6248,-0.6265,-0.62594
2025.07.07 04:00,0.73655,0.7366,0.736,0.73605,1.36255,1.3635,1.362,1.36343,-0.6254,-0.6275,-0.62738
2025.07.07 05:00,0.7361,0.73615,0.73575,0.736,1.36342,1.36404,1.3628,1.36351,-0.62665,-0.62829,-0.62751
2025.07.07 06:00,0.736,0.73625,0.7354,0.73545,1.36346,1.3647,1.3626,1.36451,-0.62635,-0.6293,-0.62906
2025.07.07 07:00,0.7355,0.73555,0.73435,0.73435,1.36448,1.36661,1.3639,1.36661,-0.62835,-0.63226,-0.63226
2025.07.07 08:00,0.73435,0.7344,0.73335,0.7334,1.3663,1.36846,1.3661,1.36828,-0.6317,-0.63511,-0.63488
2025.07.07 09:00,0.73345,0.73395,0.7333,0.7339,1.36827,1.36855,1.3669,1.3674,-0.63295,-0.63525,-0.6335
2025.07.07 10:00,0.7339,0.7346,0.73375,0.73445,1.36742,1.36767,1.3656,1.36645,-0.631,-0.63392,-0.632
2025.07.07 11:00,0.73445,0.7351,0.73435,0.7349,1.36638,1.36657,1.3648,1.36546,-0.6297,-0.63222,-0.63056
2025.07.07 12:00,0.73495,0.73535,0.7347,0.7353,1.36546,1.36597,1.3643,1.36477,-0.62895,-0.63127,-0.62947
2025.07.07 13:00,0.7353,0.736,0.73525,0.7357,1.36474,1.36493,1.3631,1.36405,-0.6271,-0.62968,-0.62835
2025.07.07 14:00,0.73575,0.73625,0.7354,0.7356,1.36405,1.36467,1.3626,1.36424,-0.62635,-0.62927,-0.62864
2025.07.07 15:00,0.7356,0.73565,0.73515,0.73545,1.36428,1.3652,1.3638,1.3643,-0.62815,-0.63005,-0.62885
2025.07.07 16:00,0.73545,0.7355,0.73395,0.73405,1.36457,1.36739,1.364,1.36712,-0.6285,-0.63344,-0.63307
2025.07.07 17:00,0.7341,0.73465,0.73375,0.734,1.3669,1.36773,1.3656,1.36729,-0.63095,-0.63398,-0.63329
2025.07.07 18:00,0.73395,0.7347,0.73345,0.7346,1.3673,1.36833,1.3657,1.36619,-0.631,-0.63488,-0.63159
2025.07.07 19:00,0.73455,0.73475,0.7342,0.73435,1.3658,1.36693,1.3655,1.36661,-0.63075,-0.63273,-0.63226
2025.07.07 20:00,0.73435,0.7344,0.73345,0.7336,1.36659,1.3683,1.3661,1.36813,-0.6317,-0.63485,-0.63453
2025.07.07 22:00,0.73365,0.73415,0.73355,0.73405,1.36794,1.36801,1.3665,1.3667,-0.63235,-0.63446,-0.63265
2025.07.07 23:00,0.73405,0.7344,0.73405,0.7344,1.36703,1.36713,1.366,1.3661,-0.6316,-0.63308,-0.6317
2025.07.08 00:00,0.7344,0.73495,0.73435,0.7349,1.36647,1.36656,1.3651,1.3653,-0.63015,-0.63221,-0.6304
2025.07.08 01:00,0.73485,0.735,0.7344,0.7346,1.36559,1.36643,1.365,1.3657,-0.63,-0.63203,-0.6311
2025.07.08 02:00,0.7346,0.7353,0.7346,0.73495,1.36606,1.36618,1.3645,1.36531,-0.6292,-0.63158,-0.63036
2025.07.08 03:00,0.735,0.7353,0.7349,0.73515,1.36534,1.3655,1.3643,1.36497,-0.629,-0.6306,-0.62982
2025.07.08 04:00,0.7351,0.73585,0.735,0.735,1.36501,1.36534,1.3635,1.365,-0.62765,-0.63034,-0.63
2025.07.08 05:00,0.73495,0.73505,0.7346,0.7349,1.36529,1.36623,1.3648,1.36545,-0.62975,-0.63163,-0.63055
2025.07.08 06:00,0.7349,0.7352,0.73475,0.7349,1.36542,1.36585,1.3645,1.36549,-0.6293,-0.6311,-0.63059
2025.07.08 07:00,0.7349,0.7358,0.7349,0.73575,1.36548,1.36554,1.3634,1.3636,-0.6276,-0.63064,-0.62785
2025.07.08 08:00,0.7357,0.7358,0.73525,0.7354,1.36388,1.36489,1.3634,1.36461,-0.6276,-0.62964,-0.62921
2025.07.08 09:00,0.7354,0.7355,0.73505,0.73515,1.36454,1.36521,1.3639,1.36502,-0.6284,-0.63016,-0.62987
2025.07.08 10:00,0.73515,0.73525,0.7348,0.73485,1.365,1.3657,1.3644,1.36559,-0.62915,-0.6309,-0.63074
