time,futOpen,futHigh,futLow,futClose,spotOpen,spotHigh,spotLow,spotClose,hiFP,loFP,fp
2025.07.06 23:00,1.1836,1.1838,1.18305,1.1835,1.178411,1.17855,1.177995,1.178411,0.005805,0.0045,0.005089
2025.07.07 00:00,1.1836,1.18455,1.1834,1.1836,1.178411,1.179245,1.178273,1.178411,0.006277,0.004155,0.005188
2025.07.07 01:00,1.1835,1.1836,1.18255,1.18275,1.178273,1.178273,1.17744,1.17744,0.00616,0.004277,0.00531
2025.07.07 02:00,1.18275,1.18305,1.182,1.1823,1.177579,1.177856,1.176886,1.177163,0.006164,0.004144,0.005137
2025.07.07 03:00,1.1823,1.18295,1.1822,1.1825,1.177024,1.177718,1.177024,1.177302,0.005926,0.004482,0.005198
2025.07.07 04:00,1.1825,1.18275,1.18195,1.1821,1.177302,1.177579,1.176747,1.177024,0.006003,0.004371,0.005076
2025.07.07 05:00,1.18205,1.1829,1.18185,1.1827,1.176886,1.177718,1.176747,1.177579,0.006153,0.004132,0.005121
2025.07.07 06:00,1.18265,1.18285,1.18055,1.1811,1.17744,1.177579,1.175503,1.175779,0.007347,0.002971,0.005321
2025.07.07 07:00,1.18115,1.1814,1.1801,1.1801,1.176055,1.176055,1.17495,1.175088,0.00645,0.004045,0.005012
2025.07.07 08:00,1.18005,1.18025,1.17785,1.178,1.17495,1.175088,1.172745,1.172745,0.007505,0.002762,0.005255
2025.07.07 09:00,1.1779,1.179,1.17775,1.1789,1.172745,1.173709,1.172608,1.173709,0.006392,0.004041,0.005191
2025.07.07 10:00,1.1789,1.179,1.1778,1.1783,1.173847,1.173847,1.172608,1.17302,0.006392,0.003953,0.00528
2025.07.07 11:00,1.1783,1.179,1.178,1.1785,1.173158,1.173709,1.172883,1.173296,0.006117,0.004291,0.005204
2025.07.07 12:00,1.1785,1.17865,1.1773,1.17775,1.173434,1.173434,1.172196,1.172608,0.006454,0.003866,0.005142
2025.07.07 13:00,1.17775,1.1796,1.17775,1.17905,1.172608,1.174398,1.172608,1.173847,0.006992,0.003352,0.005203
2025.07.07 14:00,1.1791,1.18005,1.1788,1.1794,1.173985,1.174812,1.173847,1.174122,0.006203,0.003988,0.005278
2025.07.07 15:00,1.17945,1.17955,1.17855,1.17885,1.17426,1.174398,1.173434,1.173709,0.006117,0.004152,0.005141
2025.07.07 16:00,1.1788,1.1795,1.1743,1.17495,1.173709,1.174122,1.169317,1.169454,0.010183,0.000178,0.005496
2025.07.07 17:00,1.175,1.1769,1.1741,1.1762,1.169727,1.171646,1.169044,1.170686,0.007856,0.002454,0.005514
2025.07.07 18:00,1.1762,1.1776,1.1755,1.17745,1.17096,1.172333,1.170549,1.172196,0.007051,0.003167,0.005254
2025.07.07 19:00,1.1774,1.17795,1.17715,1.1775,1.172196,1.172745,1.172058,1.17247,0.005892,0.004405,0.00503
2025.07.07 20:00,1.17745,1.17765,1.1762,1.17625,1.172333,1.17247,1.171097,1.171097,0.006553,0.00373,0.005153
2025.07.07 22:00,1.1764,1.1792,1.1763,1.17905,1.171234,1.173985,1.171234,1.173985,0.007966,0.002316,0.005065
2025.07.07 23:00,1.17905,1.1794,1.1786,1.1791,1.173847,1.17426,1.173571,1.174122,0.005829,0.00434,0.004978
2025.07.08 00:00,1.1791,1.1803,1.1791,1.1798,1.174122,1.175088,1.174122,1.174674,0.006178,0.004012,0.005126
2025.07.08 01:00,1.17985,1.1799,1.17855,1.1793,1.174812,1.174812,1.173434,1.174122,0.006467,0.003738,0.005178
2025.07.08 02:00,1.1793,1.1803,1.1791,1.1793,1.173985,1.175088,1.173985,1.174122,0.006315,0.004012,0.005178
2025.07.08 03:00,1.17935,1.18035,1.17915,1.1802,1.17426,1.175226,1.174122,1.17495,0.006228,0.003924,0.00525
2025.07.08 04:00,1.18035,1.1805,1.1795,1.1796,1.174812,1.175364,1.174398,1.174536,0.006102,0.004136,0.005064
2025.07.08 05:00,1.17955,1.17995,1.1788,1.1789,1.174536,1.174812,1.173709,1.173847,0.006241,0.003988,0.005053
2025.07.08 06:00,1.17895,1.17995,1.1786,1.17965,1.173847,1.174812,1.173571,1.174536,0.006379,0.003788,0.005114
2025.07.08 07:00,1.17965,1.18195,1.17965,1.1815,1.174674,1.176747,1.174674,1.176332,0.007276,0.002903,0.005168
2025.07.08 08:00,1.18145,1.18155,1.1802,1.18035,1.176332,1.176332,1.175088,1.175364,0.006462,0.003868,0.004986
2025.07.08 09:00,1.18035,1.1805,1.17935,1.17965,1.175226,1.175364,1.174398,1.174398,0.006102,0.003986,0.005252
2025.07.08 10:00,1.1797,1.1797,1.17775,1.17825,1.174536,1.174536,1.172883,1.173158,0.006817,0.003214,0.005092
2025.07.08 11:00,1.17825,1.1793,1.17755,1.17765,1.173158,1.174122,1.172608,1.172608,0.006692,0.003428,0.005042
2025.07.08 12:00,1.1776,1.17795,1.17685,1.17755,1.17247,1.172745,1.171783,1.17247,0.006167,0.004105,0.00508
2025.07.08 13:00,1.17755,1.17765,1.1748,1.17595,1.17247,1.17247,1.169864,1.171097,0.007786,0.00233,0.004853
2025.07.08 14:00,1.17595,1.1761,1.1737,1.17465,1.170549,1.170823,1.168634,1.169591,0.007466,0.002877,0.005059
2025.07.08 15:00,1.1747,1.17675,1.17445,1.1761,1.169727,1.171509,1.169454,1.17096,0.007296,0.002941,0.00514
