time,futOpen,futHigh,futLow,futClose,futVolume,spotOpen,spotHigh,spotLow,spotClose,spotVolume,hiFP,loFP,fp
2026-09-03 10:00:00,0.72455,0.7248,0.72435,0.72475,1375,1.38085,1.38131,1.3799,1.38041,0,-0.6551,-0.65696,-0.65566
2026-09-03 11:00:00,0.7248,0.72535,0.7246,0.72535,2654,1.3801,1.38081,1.3797,1.3798,0,-0.65435,-0.65621,-0.65445
2026-09-03 12:00:00,0.72535,0.72575,0.7248,0.7254,18022,1.37924,1.38042,1.37848,1.37918,0,-0.65273,-0.65562,-0.65378
2026-09-03 13:00:00,0.72545,0.7256,0.72465,0.72505,10732,1.3792,1.38072,1.3785,1.37985,0,-0.6529,-0.65607,-0.6548
2026-09-03 14:00:00,0.725,0.7256,0.7248,0.72555,8993,1.37978,1.38032,1.3784,1.37896,0,-0.6528,-0.65552,-0.65341
2026-09-03 15:00:00,0.7255,0.7259,0.7255,0.7259,9388,1.379,1.37902,1.3778,1.37879,0,-0.6519,-0.65352,-0.65289
2026-09-03 16:00:00,0.7259,0.72685,0.7258,0.72655,4556,1.37827,1.37845,1.3761,1.37708,0,-0.64925,-0.65265,-0.65053
2026-09-03 17:00:00,0.7265,0.72655,0.72575,0.72575,4208,1.37708,1.37861,1.3766,1.3782,0,-0.65005,-0.65286,-0.65245
2026-09-03 18:00:00,0.72575,0.7258,0.72555,0.72565,5713,1.37855,1.3789,1.3779,1.37879,0,-0.6521,-0.65335,-0.65314
2026-09-03 19:00:00,0.7256,0.7257,0.72525,0.72565,5177,1.37881,1.3796,1.3782,1.37874,0,-0.6525,-0.65435,-0.65309
2026-09-03 20:00:00,0.72565,0.7259,0.7253,0.72535,3955,1.37874,1.37945,1.3779,1.3791,0,-0.652,-0.65415,-0.65375
2026-09-03 22:00:00,0.72535,0.72535,0.7252,0.72525,0,1.3793,1.3795,1.3787,1.379,0,-0.65335,-0.6543,-0.65375
2026-09-03 23:00:00,0.7253,0.72545,0.7253,0.72545,584,1.37922,1.37927,1.3784,1.37896,0,-0.65295,-0.65397,-0.65351
2026-09-04 00:00:00,0.7254,0.72555,0.7252,0.72545,1252,1.37895,1.3794,1.3784,1.37895,0,-0.65285,-0.6542,-0.6535
2026-09-04 01:00:00,0.7254,0.72555,0.72525,0.72555,635,1.37895,1.37938,1.3782,1.37867,0,-0.65265,-0.65413,-0.65312
2026-09-04 02:00:00,0.72555,0.7257,0.7253,0.7253,597,1.37867,1.37916,1.378,1.37907,0,-0.6523,-0.65386,-0.65377
2026-09-04 03:00:00,0.7254,0.72545,0.72515,0.7253,520,1.37911,1.37956,1.3785,1.3789,0,-0.65305,-0.65441,-0.6536
2026-09-04 04:00:00,0.7254,0.72545,0.7253,0.7253,226,1.37923,1.3793,1.3784,1.37911,0,-0.65295,-0.654,-0.65381
2026-09-04 05:00:00,0.7253,0.7254,0.7252,0.72535,5905,1.37911,1.3794,1.3785,1.37901,0,-0.6531,-0.6542,-0.65366
2026-09-04 06:00:00,0.72535,0.7255,0.7252,0.7253,3011,1.3787,1.37944,1.3784,1.3792,0,-0.6529,-0.65424,-0.6539
2026-09-04 07:00:00,0.7253,0.7254,0.7246,0.7247,3271,1.37919,1.38042,1.3786,1.38037,0,-0.6532,-0.65582,-0.65567
2026-09-04 08:00:00,0.7247,0.72485,0.72455,0.72485,1907,1.38039,1.38061,1.3795,1.38024,0,-0.65465,-0.65606,-0.65539
2026-09-04 09:00:00,0.72485,0.7249,0.7246,0.7247,1763,1.38006,1.38056,1.3795,1.38037,0,-0.6546,-0.65596,-0.65567
2026-09-04 10:00:00,0.7247,0.7248,0.7245,0.7245,1266,1.38036,1.38074,1.3796,1.3804,0,-0.6548,-0.65624,-0.6559
2026-09-04 11:00:00,0.72455,0.7248,0.7244,0.72475,4720,1.38069,1.38092,1.3797,1.38016,0,-0.6549,-0.65652,-0.65541
2026-09-04 12:00:00,0.7248,0.7256,0.7211,0.7214,33587,1.38017,1.38721,1.3789,1.38635,0,-0.6533,-0.66611,-0.66495
2026-09-04 13:00:00,0.7214,0.723,0.72115,0.72195,14266,1.38663,1.38717,1.3832,1.38555,0,-0.6602,-0.66602,-0.6636
