time,futOpen,futHigh,futLow,futClose,futVolume,spotOpen,spotHigh,spotLow,spotClose,spotVolume,hiFP,loFP,fp
2026-07-24 05:00:00,1.1404,1.14075,1.1401,1.1402,1904,1.138304,1.138693,1.138045,1.138045,0,0.002705,0.001407,0.002155
2026-07-24 06:00:00,1.1402,1.14115,1.14015,1.14115,3954,1.138174,1.138952,1.138045,1.138952,0,0.003105,0.001198,0.002198
2026-07-24 07:00:00,1.14115,1.14255,1.1411,1.14145,7835,1.139082,1.140381,1.138952,1.139471,0,0.003598,0.000719,0.001979
2026-07-24 08:00:00,1.14145,1.1415,1.14055,1.14075,6934,1.139341,1.139341,1.138433,1.138693,0,0.003067,0.001209,0.002057
2026-07-24 09:00:00,1.1407,1.1413,1.1407,1.1413,5083,1.138563,1.139082,1.138563,1.139082,0,0.002737,0.001618,0.002218
2026-07-24 10:00:00,1.14135,1.1417,1.14055,1.14075,5604,1.139212,1.139601,1.138563,1.138693,0,0.003137,0.000949,0.002057
2026-07-24 11:00:00,1.14075,1.14125,1.13955,1.1399,11243,1.138563,1.139082,1.137527,1.137786,0,0.003723,0.000468,0.002114
2026-07-24 12:00:00,1.13995,1.1403,1.13915,1.1394,10996,1.137915,1.138174,1.137139,1.137268,0,0.003161,0.000976,0.002132
2026-07-24 13:00:00,1.1394,1.14015,1.1389,1.1401,15090,1.137398,1.137527,1.13688,1.137527,0,0.00327,0.001373,0.002573
2026-07-24 14:00:00,1.1401,1.1405,1.1395,1.14025,17524,1.138045,1.138304,1.137398,1.138304,0,0.003102,0.001196,0.001946
2026-07-24 15:00:00,1.14025,1.14155,1.1401,1.1409,14122,1.138045,1.139341,1.138045,1.138693,0,0.003505,0.000759,0.002207
2026-07-24 16:00:00,1.14085,1.14105,1.1402,1.14025,4035,1.138693,1.138952,1.138174,1.138174,0,0.002876,0.001248,0.002076
2026-07-24 17:00:00,1.1402,1.1402,1.13915,1.13935,6527,1.138045,1.138045,1.137139,1.137268,0,0.003061,0.001105,0.002082
2026-07-24 18:00:00,1.1394,1.13955,1.1392,1.1394,4860,1.137268,1.137398,1.13701,1.137268,0,0.00254,0.001802,0.002132
2026-07-24 19:00:00,1.1394,1.1397,1.13925,1.1394,4543,1.137398,1.137527,1.137139,1.137398,0,0.002561,0.001723,0.002002
2026-07-24 20:00:00,1.1394,1.13975,1.1392,1.13945,2005,1.137398,1.137656,1.13701,1.137398,0,0.00274,0.001544,0.002052
2026-07-26 23:00:00,1.14135,1.14195,1.14125,1.1419,1374,1.139341,1.139861,1.139212,1.139861,0,0.002738,0.001389,0.002039
2026-07-27 00:00:00,1.1419,1.14375,1.1419,1.14255,8038,1.139991,1.141553,1.139991,1.140511,0,0.003759,0.000347,0.002039
2026-07-27 01:00:00,1.1426,1.14385,1.1426,1.14385,4187,1.140641,1.141683,1.140641,1.141683,0,0.003209,0.000917,0.002167
